sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
3620_06_16S	5578	3765	67.5	2965	2848	51.06
3620_06_GyrB	2144	1794	83.68	1780	1780	83.02
3622_02_16S	6198	4008	64.67	3423	3262	52.63
3622_02_GyrB	1434	1077	75.1	1068	669	46.65
3627_04_16S	9096	5375	59.09	4242	3456	37.99
3627_04_GyrB	5368	4227	78.74	4192	3250	60.54
3628_17_16S	8099	6165	76.12	5133	4864	60.06
3628_17_GyrB	5756	3039	52.8	3012	3012	52.33
3631_13_16S	5454	3865	70.87	3151	2835	51.98
3631_13_GyrB	2569	1446	56.29	1414	1344	52.32
3633_13_16S	3102	2307	74.37	1747	1614	52.03
3633_13_GyrB	4380	3172	72.42	3097	2756	62.92
3634_23_16S	10836	7448	68.73	6234	5076	46.84
3634_23_GyrB	3258	1849	56.75	1750	1430	43.89
3641_08_16S	7658	6169	80.56	5679	4980	65.03
3641_08_GyrB	2828	2131	75.35	1859	1504	53.18
3642_08_16S	4545	2676	58.88	1797	1738	38.24
3642_08_GyrB	1619	1359	83.94	1350	1350	83.38
3643_03_16S	5782	4403	76.15	3583	3206	55.45
3643_03_GyrB	1817	1097	60.37	1087	1060	58.34
3645_07_16S	3	1	33.33	1	1	33.33
3645_07_GyrB	6	4	66.67	1	1	16.67
3646_01_16S	1796	1582	88.08	1455	1246	69.38
3646_01_GyrB	12	5	41.67	1	1	8.33
3658_25_16S	3720	2328	62.58	1877	1622	43.6
3658_25_GyrB	2892	1948	67.36	1926	1926	66.6
3660_22_16S	9404	7276	77.37	6258	5346	56.85
3660_22_GyrB	4356	3190	73.23	3139	2622	60.19
3661_19_16S	4062	2410	59.33	1698	1698	41.8
3661_19_GyrB	1700	1332	78.35	1328	1065	62.65
3662_02_16S	7576	5006	66.08	4492	4042	53.35
3662_02_GyrB	4836	4049	83.73	3909	3317	68.59
3664_04_16S	8458	5458	64.53	4764	4407	52.1
3664_04_GyrB	2631	1596	60.66	1577	1577	59.94
3665_07_16S	5315	3590	67.54	2890	2535	47.7
3665_07_GyrB	1218	903	74.14	891	618	50.74
3667_23_16S	3611	2220	61.48	1553	1482	41.04
3667_23_GyrB	2694	1704	63.25	1675	1477	54.83
3668_09_16S	48	22	45.83	6	0	0
3668_09_GyrB	5375	3540	65.86	3482	3482	64.78
3669_19_16S	5583	4340	77.74	3457	3354	60.08
3669_19_GyrB	4456	3685	82.7	3654	3514	78.86
3675_10_16S	4059	2950	72.68	2432	2327	57.33
3675_10_GyrB	2033	1125	55.34	1083	933	45.89
3677_05_16S	4150	3219	77.57	2654	2455	59.16
3677_05_GyrB	1518	1079	71.08	1055	956	62.98
3680_06_16S	2543	1747	68.7	1268	1268	49.86
3680_06_GyrB	2788	1679	60.22	1632	1520	54.52
3681_06_16S	12574	8991	71.5	7416	7222	57.44
3681_06_GyrB	2461	1760	71.52	1728	1469	59.69
3682_03_16S	4252	3036	71.4	2703	2560	60.21
3682_03_GyrB	218	123	56.42	93	93	42.66
3684_14_16S	7650	5725	74.84	4604	4208	55.01
3684_14_GyrB	4667	3705	79.39	3635	3267	70
3687_19_16S	4519	3120	69.04	2772	2223	49.19
3687_19_GyrB	1910	1491	78.06	1463	1393	72.93
3690_10_16S	4900	3516	71.76	3022	2506	51.14
3690_10_GyrB	1298	917	70.65	913	758	58.4
3693_10_16S	8135	4307	52.94	2926	2306	28.35
3693_10_GyrB	2745	2359	85.94	2336	2336	85.1
3694_12_16S	4261	3346	78.53	3036	2763	64.84
3694_12_GyrB	2094	1652	78.89	1636	1370	65.43
3701_21_16S	10195	7274	71.35	6050	5031	49.35
3701_21_GyrB	5874	4911	83.61	4833	4144	70.55
3704_17_16S	4383	3186	72.69	2292	2292	52.29
3704_17_GyrB	6717	5389	80.23	5336	5057	75.29
3705_24_16S	5056	3504	69.3	2629	2519	49.82
3705_24_GyrB	2620	1929	73.63	1862	1772	67.63
3707_08_16S	5270	4512	85.62	4015	3549	67.34
3707_08_GyrB	3132	2258	72.09	2231	1986	63.41
3708_02_16S	2182	1506	69.02	915	915	41.93
3708_02_GyrB	3600	2391	66.42	2359	2235	62.08
3709_04_16S	3530	2291	64.9	1611	1556	44.08
3709_04_GyrB	3358	2102	62.6	2069	2069	61.61
3712_19_16S	1284	890	69.31	593	536	41.74
3712_19_GyrB	2586	1686	65.2	1635	1490	57.62
